method,method_label,depth,target_age,n,accuracy,mean_answer_ce,mean_teacher_answer_ce,mean_ce_gap_to_full,mean_kl_to_full,source_tokens,represented_source_tokens,memory_positions,source_tokens_per_position,mean_compaction_ms_per_chunk
full_context,Full context,100,middle,2,1.0,0.0011892375187017024,0.0011892375187017024,0.0,-1.8106334209733177e-08,6400,6400,6400,1.0,
full_context,Full context,100,newest,2,1.0,0.0036155167617835104,0.0036155167617835104,0.0,5.974129635433201e-09,6400,6400,6400,1.0,
text_window,Text window,1,overall,8,1.0,0.0005724170550820418,0.0005724170550820418,0.0,4.418287957719258e-10,64,64,64,1.0,
text_window,Text window,1,oldest,4,1.0,0.0007383082847809419,0.0007383082847809419,0.0,1.2147136629891975e-09,64,64,64,1.0,
text_window,Text window,1,middle,2,1.0,0.0005141233268659562,0.0005141233268659562,0.0,-2.2737367544323206e-08,64,64,64,1.0,
text_window,Text window,1,newest,2,1.0,0.0002989283239003271,0.0002989283239003271,0.0,2.2075255401432514e-08,64,64,64,1.0,
text_window,Text window,2,overall,8,0.5,2.276862681877901,0.0004032835531688761,2.2764593983247323,2.2743046053292346,128,64,64,2.0,
text_window,Text window,2,oldest,4,0.0,4.553289473056793,0.0005173437893972732,4.552772129267396,4.5485230684280396,128,64,64,2.0,
text_window,Text window,2,middle,2,1.0,0.00043156683386769146,0.000235814386542188,0.00019575244732550345,9.576290449331282e-05,128,64,64,2.0,
text_window,Text window,2,newest,2,1.0,0.00044021456415066496,0.00034263224733876996,9.7582316811895e-05,7.65215563660604e-05,128,64,64,2.0,
text_window,Text window,4,overall,8,0.25,2.8284337100049015,0.0012762983601533051,2.827157411644748,2.824635015160311,256,64,64,4.0,
text_window,Text window,4,oldest,4,0.0,3.4597480297088623,0.0005425419503808371,3.4592054877584815,3.4554919600486755,256,64,64,4.0,
text_window,Text window,4,middle,2,0.0,4.393374562263489,0.0009472433594055474,4.392427318904083,4.385221838951111,256,64,64,4.0,
text_window,Text window,4,newest,2,1.0,0.0008642183383926749,0.003072866180445999,-0.002208647842053324,0.0023343015927821398,256,64,64,4.0,
text_window,Text window,8,overall,8,0.375,2.123254048195122,0.001306233849390992,2.121947814345731,2.116616445435284,512,64,64,8.0,
text_window,Text window,8,oldest,4,0.0,3.6861820220947266,0.0012097351245756727,3.684972286970151,3.678425669670105,512,64,64,8.0,
text_window,Text window,8,middle,2,0.5,1.1202753782272339,0.002127824816852808,1.118147553410381,1.1093368530273438,512,64,64,8.0,
text_window,Text window,8,newest,2,1.0,0.00037677036380046047,0.0006776403315598145,-0.00030086996775935404,0.0002775893735815771,512,64,64,8.0,
text_window,Text window,16,overall,8,0.5,2.0366836659222827,0.0009807578535401262,2.0357029080687425,2.03137143139611,1024,64,64,16.0,
text_window,Text window,16,oldest,4,0.25,2.5442667603492737,0.0009454071841901168,2.5433213531650836,2.5385374277830124,1024,64,64,16.0,
text_window,Text window,16,middle,2,0.5,3.058011382818222,0.0016924092778936028,3.0563189735403284,3.048230826854706,1024,64,64,16.0,
text_window,Text window,16,newest,2,1.0,0.00018976017236127518,0.00033980776788666844,-0.00015004759552539326,0.00018004316370934248,1024,64,64,16.0,
